Sr. Number,Gender,Education_Level_Simplified,Job Title,Age_simplified,Age,Years_of_Experience_CLEARED,Years_of_Experience,Salary_cleared,Salary,Country,Race,Seniority,Education_Level
2822,Female,1,Project Engineer,Senior Professionals,45,Expert Level,22,Very High Salary,171468,China,Korean,1,Master's
2823,Male,2,Full Stack Engineer,Young Professionals,36,Senior Level,13,High Salary,147326,UK,Asian,0,High School
2824,Male,3,Software Engineer Manager,Senior Professionals,52,Expert Level,26,Very High Salary,185982,China,White,0,Bachelor's
2825,Female,1,Software Engineer,Early Career,31,Mid Level,7,High Salary,108267,Canada,White,1,Master's
2826,Male,2,Full Stack Engineer,Early Career,26,Junior Level,4,Medium Salary,91397,UK,Welsh,0,Master's
2827,Female,2,Project Engineer,Early Career,30,Junior Level,5,High Salary,100867,China,Chinese,1,Bachelor's
2828,Male,1,Back end Developer,Early Career,24,Fresher,2,Medium Salary,64182,China,White,0,PhD
2829,Male,2,Software Engineer,Senior Professionals,45,Expert Level,22,Very High Salary,182506,UK,Asian,1,Master's
2830,Female,2,Full Stack Engineer,Early Career,33,Mid Level,9,High Salary,136986,Australia,White,0,Bachelor's
2831,Male,1,Front end Developer,Young Professionals,38,Senior Level,11,High Salary,136662,Australia,Australian,0,Master's
2832,Female,3,Software Engineer Manager,Senior Professionals,54,Expert Level,32,Very High Salary,191510,USA,White,0,PhD
2833,Male,2,Full Stack Engineer,Young Professionals,42,Lead Level,19,Very High Salary,177347,UK,Asian,0,Master's
2834,Female,1,Project Engineer,Early Career,28,Junior Level,3,Medium Salary,70397,USA,Hispanic,1,Bachelor's
2835,Male,2,Software Engineer Manager,Early Career,34,Mid Level,9,High Salary,146075,USA,White,0,Master's
2836,Female,1,Back end Developer,Senior Professionals,46,Lead Level,18,Very High Salary,155795,UK,Mixed,0,Master's
2837,Male,2,Full Stack Engineer,Young Professionals,35,Mid Level,9,High Salary,132638,China,Korean,0,Bachelor's
2838,Female,3,Software Engineer Manager,Senior Professionals,49,Expert Level,22,Very High Salary,178684,UK,Welsh,0,Master's
2839,Male,1,Software Engineer,Early Career,32,Mid Level,7,High Salary,106218,USA,White,1,PhD
2840,Male,2,Full Stack Engineer,Senior Professionals,54,Expert Level,28,Very High Salary,191239,USA,African American,0,Bachelor's
2841,Female,2,Front end Developer,Early Career,26,Fresher,2,Medium Salary,65840,UK,Asian,0,Master's
2842,Male,3,Software Engineer Manager,Early Career,23,Fresher,0,Medium Salary,52779,Canada,Asian,0,Master's
2843,Female,2,Software Engineer,Senior Professionals,48,Expert Level,23,Very High Salary,185038,Canada,Asian,1,Bachelor's
2844,Male,1,Back end Developer,Young Professionals,38,Senior Level,14,High Salary,136449,UK,White,0,Master's
2845,Female,2,Full Stack Engineer,Early Career,30,Mid Level,6,High Salary,110707,China,Korean,0,Master's
2846,Male,2,Software Engineer Manager,Young Professionals,40,Lead Level,17,Very High Salary,151670,Canada,Black,0,Bachelor's
2847,Female,1,Project Engineer,Senior Professionals,45,Expert Level,21,Very High Salary,167015,UK,Asian,1,PhD
2848,Male,2,Full Stack Engineer,Young Professionals,36,Senior Level,13,High Salary,146508,USA,Hispanic,0,Master's
2849,Male,3,Software Engineer Manager,Senior Professionals,52,Expert Level,27,Very High Salary,190596,UK,Asian,0,Bachelor's
2850,Female,1,Software Engineer,Early Career,31,Mid Level,6,High Salary,104378,UK,Welsh,1,Master's
2851,Male,2,Full Stack Engineer,Early Career,26,Junior Level,3,Medium Salary,70216,USA,White,0,Bachelor's
2852,Female,2,Project Engineer,Early Career,30,Junior Level,5,High Salary,101733,USA,White,1,Master's
2853,Male,1,Back end Developer,Early Career,24,Fresher,1,Medium Salary,55935,UK,Asian,0,PhD
2854,Male,2,Software Engineer,Senior Professionals,45,Expert Level,21,Very High Salary,180367,China,Korean,1,Bachelor's
2855,Female,2,Full Stack Engineer,Early Career,33,Mid Level,9,High Salary,135596,UK,Asian,0,Master's
2856,Male,1,Front end Developer,Young Professionals,38,Senior Level,11,High Salary,136062,USA,White,0,Master's
2857,Female,3,Software Engineer Manager,Senior Professionals,54,Expert Level,32,Very High Salary,191267,Australia,Asian,0,PhD
2858,Male,2,Full Stack Engineer,Young Professionals,42,Lead Level,19,Very High Salary,177347,UK,White,0,Master's
2859,Female,1,Project Engineer,Early Career,28,Junior Level,3,Medium Salary,70397,Australia,White,1,Bachelor's
2860,Male,2,Software Engineer Manager,Early Career,34,Mid Level,9,High Salary,146075,Australia,Australian,0,Master's
2861,Female,1,Back end Developer,Senior Professionals,46,Lead Level,18,Very High Salary,155795,China,White,0,Master's
2862,Male,2,Full Stack Engineer,Young Professionals,35,Mid Level,9,High Salary,132638,China,White,0,Bachelor's
2863,Female,3,Software Engineer Manager,Senior Professionals,49,Expert Level,22,Very High Salary,178684,Canada,Asian,0,Master's
2864,Male,1,Software Engineer,Early Career,32,Mid Level,7,High Salary,106218,Australia,Australian,1,PhD
2865,Male,2,Full Stack Engineer,Senior Professionals,54,Expert Level,28,Very High Salary,191239,Australia,Australian,0,Bachelor's
2866,Female,2,Front end Developer,Early Career,26,Fresher,2,Medium Salary,65840,Canada,Black,0,Master's
2867,Male,3,Software Engineer Manager,Early Career,23,Fresher,0,Medium Salary,52779,China,Korean,0,Master's
2868,Female,2,Software Engineer,Senior Professionals,48,Expert Level,23,Very High Salary,185038,USA,Hispanic,1,Bachelor's
2869,Male,1,Back end Developer,Young Professionals,38,Senior Level,14,High Salary,136449,China,Korean,0,Master's
2870,Female,2,Full Stack Engineer,Early Career,30,Mid Level,6,High Salary,110707,UK,Welsh,0,Master's
2871,Male,2,Software Engineer Manager,Young Professionals,40,Lead Level,17,Very High Salary,151670,Canada,White,0,Bachelor's
2872,Female,1,Project Engineer,Senior Professionals,45,Expert Level,21,Very High Salary,167015,China,White,1,PhD
2873,Male,2,Full Stack Engineer,Young Professionals,36,Senior Level,13,High Salary,146508,Canada,White,0,Master's
2874,Male,3,Software Engineer Manager,Senior Professionals,52,Expert Level,27,Very High Salary,190596,USA,African American,0,Bachelor's
2875,Female,1,Software Engineer,Early Career,31,Mid Level,6,High Salary,104378,USA,Asian,1,Master's
2876,Male,2,Full Stack Engineer,Early Career,26,Junior Level,3,Medium Salary,70216,UK,Welsh,0,Bachelor's
2877,Female,2,Project Engineer,Early Career,30,Junior Level,5,High Salary,101733,China,White,1,Master's
2878,Male,1,Back end Developer,Early Career,24,Fresher,1,Medium Salary,55935,USA,Asian,0,PhD
2879,Male,2,Software Engineer,Senior Professionals,45,Expert Level,21,Very High Salary,180367,USA,White,1,Bachelor's
2880,Female,2,Full Stack Engineer,Early Career,33,Mid Level,9,High Salary,135596,China,Korean,0,Master's
2881,Male,1,Front end Developer,Young Professionals,38,Senior Level,11,High Salary,136062,USA,Hispanic,0,Master's
2882,Female,3,Software Engineer Manager,Senior Professionals,54,Expert Level,32,Very High Salary,191267,USA,White,0,PhD
2883,Male,2,Full Stack Engineer,Young Professionals,42,Lead Level,19,Very High Salary,177347,China,Chinese,0,Master's
2884,Female,1,Full Stack Engineer,Early Career,29,Mid Level,6,High Salary,103579,Canada,Black,0,Bachelor's
2885,Male,2,Software Engineer Manager,Senior Professionals,45,Lead Level,19,Very High Salary,163780,UK,Welsh,0,Master's
2886,Male,1,Front end Developer,Young Professionals,36,Senior Level,12,High Salary,137878,China,Chinese,0,Master's
2887,Female,2,Project Engineer,Early Career,30,Junior Level,4,Medium Salary,92438,Canada,Black,1,Bachelor's
2888,Male,2,Full Stack Engineer,Early Career,28,Junior Level,5,Medium Salary,84181,Canada,Asian,0,Master's
2889,Female,3,Software Engineer Manager,Senior Professionals,46,Expert Level,21,Very High Salary,174821,Canada,Asian,0,PhD
2890,Male,1,Back end Developer,Early Career,34,Mid Level,10,High Salary,126520,China,Chinese,0,Bachelor's
2891,Male,2,Software Engineer,Young Professionals,44,Lead Level,18,Very High Salary,152168,USA,White,1,Master's
2892,Female,3,Software Engineer Manager,Late Career,55,Expert Level,29,Very High Salary,190543,China,Korean,0,Master's
2893,Male,2,Full Stack Engineer,Young Professionals,35,Mid Level,9,High Salary,131547,Canada,Asian,0,Bachelor's
2894,Male,1,Project Engineer,Senior Professionals,54,Expert Level,28,Very High Salary,192292,USA,African American,1,Master's
2895,Female,0,Back end Developer,Early Career,23,Fresher,1,Medium Salary,52807,UK,White,0,Master's
2896,Male,2,Software Engineer,Senior Professionals,46,Lead Level,20,Very High Salary,174938,USA,African American,1,Bachelor's
2897,Female,1,Full Stack Engineer,Early Career,33,Mid Level,8,High Salary,124071,USA,Hispanic,0,PhD
2898,Male,2,Front end Developer,Early Career,26,Junior Level,3,Medium Salary,73640,Canada,White,0,Master's
2899,Female,3,Software Engineer Manager,Young Professionals,43,Lead Level,19,Very High Salary,156486,Australia,Asian,0,Bachelor's
2900,Male,2,Full Stack Engineer,Young Professionals,36,Senior Level,11,High Salary,138859,USA,White,0,Master's
2901,Female,1,Project Engineer,Early Career,23,Fresher,0,Medium Salary,52831,China,White,1,Bachelor's
2902,Male,2,Software Engineer Manager,Senior Professionals,49,Expert Level,23,Very High Salary,182392,USA,Asian,0,Master's
2903,Female,2,Full Stack Engineer,Young Professionals,35,Senior Level,11,Very High Salary,151078,USA,Asian,0,Master's
2904,Male,1,Back end Developer,Early Career,31,Mid Level,8,High Salary,100679,USA,White,0,PhD
2905,Male,2,Full Stack Engineer,Young Professionals,43,Lead Level,20,Very High Salary,167924,Canada,Black,0,Bachelor's
2906,Female,2,Project Engineer,Early Career,33,Mid Level,10,High Salary,113334,Canada,Asian,1,Master's
2907,Female,3,Software Engineer Manager,Senior Professionals,52,Expert Level,29,Very High Salary,194778,Canada,Asian,0,PhD
2908,Male,1,Full Stack Engineer,Early Career,28,Junior Level,4,Medium Salary,77606,USA,White,0,Master's
2909,Female,2,Software Engineer,Young Professionals,36,Senior Level,13,High Salary,140010,Australia,White,1,Bachelor's
2910,Male,1,Project Engineer,Young Professionals,43,Lead Level,20,High Salary,142421,Canada,Black,1,High School
2911,Female,2,Full Stack Engineer,Senior Professionals,50,Expert Level,24,Very High Salary,192756,Canada,Asian,0,Master's
2912,Male,3,Software Engineer Manager,Early Career,24,Fresher,1,High Salary,106686,USA,White,0,Bachelor's
2913,Male,2,Software Engineer,Senior Professionals,52,Expert Level,27,Very High Salary,186794,China,Korean,1,Master's
2914,Female,1,Back end Developer,Senior Professionals,46,Lead Level,19,Very High Salary,150729,Australia,Asian,0,PhD
2915,Male,2,Full Stack Engineer,Young Professionals,38,Senior Level,15,Very High Salary,171652,Australia,Asian,0,Master's
2916,Male,1,Project Engineer,Early Career,29,Mid Level,6,Medium Salary,88552,Canada,Black,1,Bachelor's
2917,Female,2,Front end Developer,Early Career,33,Mid Level,9,High Salary,119918,Australia,White,0,Master's
2918,Male,3,Software Engineer Manager,Senior Professionals,47,Expert Level,21,Very High Salary,174985,Australia,Asian,0,Master's
2919,Female,2,Software Engineer,Senior Professionals,45,Expert Level,23,Very High Salary,174336,USA,Hispanic,1,Bachelor's
2920,Male,1,Back end Developer,Early Career,28,Junior Level,4,Medium Salary,72389,UK,Mixed,0,High School
2921,Female,2,Full Stack Engineer,Young Professionals,42,Senior Level,14,Very High Salary,163978,USA,Hispanic,0,Master's
2922,Male,1,Project Engineer,Senior Professionals,46,Expert Level,25,Very High Salary,166958,Australia,White,1,Master's
2923,Female,3,Software Engineer Manager,Young Professionals,38,Senior Level,15,High Salary,145052,Australia,Australian,0,PhD
2924,Male,2,Software Engineer,Senior Professionals,54,Expert Level,32,Very High Salary,195270,UK,Asian,1,Bachelor's
2925,Female,2,Full Stack Engineer,Early Career,33,Mid Level,8,High Salary,122970,Australia,White,0,Master's
2926,Male,0,Back end Developer,Early Career,27,Junior Level,4,Medium Salary,80247,UK,Asian,0,Bachelor's
2927,Female,1,Project Engineer,Senior Professionals,50,Expert Level,25,Very High Salary,177862,USA,African American,1,Master's
2928,Male,2,Full Stack Engineer,Early Career,26,Junior Level,4,Medium Salary,91062,Canada,Black,0,PhD
2929,Female,2,Software Engineer,Early Career,31,Mid Level,6,High Salary,114290,Australia,White,1,Master's
2930,Male,1,Front end Developer,Young Professionals,35,Mid Level,10,High Salary,128999,Canada,Black,0,Bachelor's
2931,Female,3,Software Engineer Manager,Young Professionals,44,Lead Level,18,Very High Salary,162454,UK,Welsh,0,Master's
2932,Male,2,Project Engineer,Early Career,32,Mid Level,8,High Salary,122354,China,Korean,1,Bachelor's
2933,Male,1,Full Stack Engineer,Senior Professionals,54,Expert Level,25,Very High Salary,179756,USA,African American,0,Master's
2934,Female,2,Front end Developer,Early Career,26,Junior Level,3,Medium Salary,73218,USA,Hispanic,0,PhD
2935,Male,3,Software Engineer Manager,Early Career,23,Fresher,0,Medium Salary,52612,USA,African American,0,Master's
2936,Female,2,Software Engineer,Senior Professionals,48,Expert Level,24,Very High Salary,184480,Australia,White,1,Bachelor's
2937,Male,1,Back end Developer,Young Professionals,38,Senior Level,12,High Salary,132442,UK,Asian,0,Master's
2938,Female,2,Full Stack Engineer,Early Career,30,Junior Level,5,High Salary,102828,Canada,White,0,Bachelor's
2939,Male,2,Software Engineer Manager,Young Professionals,40,Lead Level,16,Very High Salary,150301,Australia,Australian,0,PhD
2940,Female,1,Project Engineer,Senior Professionals,45,Expert Level,22,Very High Salary,171468,Australia,Asian,1,Master's
2941,Male,2,Full Stack Engineer,Young Professionals,36,Senior Level,13,High Salary,147326,China,White,0,Master's
2942,Male,3,Software Engineer Manager,Senior Professionals,52,Expert Level,26,Very High Salary,185982,China,Chinese,0,High School
2943,Female,1,Software Engineer,Early Career,31,Mid Level,7,High Salary,108267,UK,Welsh,1,Bachelor's
2944,Male,2,Full Stack Engineer,Early Career,26,Junior Level,4,Medium Salary,91397,Australia,Australian,0,Master's
2945,Female,2,Project Engineer,Early Career,30,Junior Level,5,High Salary,100867,Australia,Australian,1,Master's
2946,Male,1,Back end Developer,Early Career,24,Fresher,2,Medium Salary,64182,USA,Hispanic,0,Bachelor's
2947,Male,2,Software Engineer,Senior Professionals,45,Expert Level,22,Very High Salary,182506,UK,White,1,PhD
2948,Female,2,Full Stack Engineer,Early Career,33,Mid Level,9,High Salary,136986,UK,Mixed,0,Master's
2949,Male,1,Front end Developer,Young Professionals,38,Senior Level,11,High Salary,136662,Australia,White,0,Bachelor's
2950,Female,3,Software Engineer Manager,Senior Professionals,54,Expert Level,32,Very High Salary,191510,UK,Welsh,0,Master's
2951,Male,2,Full Stack Engineer,Young Professionals,42,Lead Level,19,Very High Salary,177347,Canada,Asian,0,PhD
2952,Female,1,Project Engineer,Early Career,28,Junior Level,3,Medium Salary,70397,USA,Asian,1,Master's
2953,Male,2,Software Engineer Manager,Early Career,34,Mid Level,9,High Salary,146075,China,White,0,Bachelor's
2954,Female,1,Back end Developer,Senior Professionals,46,Lead Level,18,Very High Salary,155795,Canada,Asian,0,Master's
2955,Male,2,Full Stack Engineer,Young Professionals,35,Mid Level,9,High Salary,132638,China,Korean,0,Master's
2956,Female,3,Software Engineer Manager,Senior Professionals,49,Expert Level,22,Very High Salary,178684,Australia,White,0,Bachelor's
2957,Male,1,Software Engineer,Early Career,32,Mid Level,7,High Salary,106218,Australia,Asian,1,Master's
2958,Male,2,Full Stack Engineer,Senior Professionals,54,Expert Level,28,Very High Salary,191239,Canada,White,0,PhD
2959,Female,2,Front end Developer,Early Career,26,Fresher,2,Medium Salary,65840,USA,Asian,0,Bachelor's
2960,Male,3,Software Engineer Manager,Early Career,23,Fresher,0,Medium Salary,52779,UK,Asian,0,Master's
2961,Female,2,Software Engineer,Senior Professionals,48,Expert Level,23,Very High Salary,185038,Australia,Asian,1,Master's
2962,Male,1,Back end Developer,Young Professionals,38,Senior Level,14,High Salary,136449,China,Korean,0,Bachelor's
2963,Female,2,Full Stack Engineer,Early Career,30,Mid Level,6,High Salary,110707,China,Chinese,0,Master's
2964,Male,2,Software Engineer Manager,Young Professionals,40,Lead Level,17,Very High Salary,151670,USA,African American,0,Master's
2965,Female,1,Project Engineer,Senior Professionals,45,Expert Level,21,Very High Salary,167015,UK,White,1,Bachelor's
2966,Male,2,Full Stack Engineer,Young Professionals,36,Senior Level,13,High Salary,146508,Australia,Asian,0,PhD
2967,Male,3,Software Engineer Manager,Senior Professionals,52,Expert Level,27,Very High Salary,190596,China,Chinese,0,Master's
2968,Female,1,Software Engineer,Early Career,31,Mid Level,6,High Salary,104378,USA,African American,1,Bachelor's
2969,Male,2,Full Stack Engineer,Early Career,26,Junior Level,3,Medium Salary,70216,China,Korean,0,Master's
2970,Female,2,Project Engineer,Early Career,30,Junior Level,5,High Salary,101733,China,Chinese,1,Bachelor's
2971,Male,1,Back end Developer,Early Career,24,Fresher,1,Medium Salary,55935,UK,White,0,Master's
2972,Male,2,Software Engineer,Senior Professionals,45,Expert Level,21,Very High Salary,180367,UK,Asian,1,PhD
2973,Female,2,Full Stack Engineer,Early Career,33,Mid Level,9,High Salary,135596,UK,Welsh,0,Bachelor's
2974,Male,1,Front end Developer,Young Professionals,38,Senior Level,11,High Salary,136062,UK,Asian,0,Master's
2975,Female,3,Software Engineer Manager,Senior Professionals,54,Expert Level,32,Very High Salary,191267,Australia,White,0,Master's
2976,Male,2,Full Stack Engineer,Young Professionals,42,Lead Level,19,Very High Salary,177347,UK,Asian,0,PhD
2977,Female,1,Project Engineer,Early Career,28,Junior Level,3,Medium Salary,70397,China,Korean,1,Master's
2978,Male,2,Software Engineer Manager,Early Career,34,Mid Level,9,High Salary,146075,USA,Hispanic,0,Bachelor's
2979,Female,1,Back end Developer,Senior Professionals,46,Lead Level,18,Very High Salary,155795,USA,White,0,Master's
2980,Male,2,Full Stack Engineer,Young Professionals,35,Mid Level,9,High Salary,132638,UK,White,0,Master's
2981,Female,3,Software Engineer Manager,Senior Professionals,49,Expert Level,22,Very High Salary,178684,China,Chinese,0,Bachelor's
2982,Male,1,Software Engineer,Early Career,32,Mid Level,7,High Salary,106218,Canada,White,1,Master's
2983,Male,2,Full Stack Engineer,Senior Professionals,54,Expert Level,28,Very High Salary,191239,Australia,Australian,0,PhD
2984,Female,2,Front end Developer,Early Career,26,Fresher,2,Medium Salary,65840,Australia,Australian,0,Bachelor's
2985,Male,3,Software Engineer Manager,Early Career,23,Fresher,0,Medium Salary,52779,Australia,White,0,Master's
2986,Female,2,Software Engineer,Senior Professionals,48,Expert Level,23,Very High Salary,185038,USA,White,1,Master's
2987,Male,1,Back end Developer,Young Professionals,38,Senior Level,14,High Salary,136449,Canada,White,0,Bachelor's
2988,Female,2,Full Stack Engineer,Early Career,30,Mid Level,6,High Salary,110707,Canada,Asian,0,Master's
2989,Male,2,Software Engineer Manager,Young Professionals,40,Lead Level,17,Very High Salary,151670,USA,African American,0,Master's
2990,Female,1,Project Engineer,Senior Professionals,45,Expert Level,21,Very High Salary,167015,Canada,White,1,Bachelor's
2991,Male,2,Full Stack Engineer,Young Professionals,36,Senior Level,13,High Salary,146508,China,Korean,0,PhD
2992,Male,3,Software Engineer Manager,Senior Professionals,52,Expert Level,27,Very High Salary,190596,USA,African American,0,Master's
2993,Female,1,Software Engineer,Early Career,31,Mid Level,6,High Salary,104378,USA,Asian,1,Bachelor's
2994,Male,2,Full Stack Engineer,Early Career,26,Junior Level,3,Medium Salary,70216,USA,African American,0,Master's
2995,Female,2,Project Engineer,Early Career,30,Junior Level,5,High Salary,101733,Australia,Australian,1,Bachelor's
2996,Male,1,Back end Developer,Early Career,24,Fresher,1,Medium Salary,55935,China,Korean,0,Master's
2997,Male,2,Software Engineer,Senior Professionals,45,Expert Level,21,Very High Salary,180367,UK,Mixed,1,PhD
2998,Female,2,Full Stack Engineer,Early Career,33,Mid Level,9,High Salary,135596,Australia,Australian,0,Bachelor's
2999,Male,1,Front end Developer,Young Professionals,38,Senior Level,11,High Salary,136062,China,White,0,Master's
3000,Female,3,Software Engineer Manager,Senior Professionals,54,Expert Level,32,Very High Salary,191267,Australia,Australian,0,Master's
3001,Male,2,Full Stack Engineer,Young Professionals,42,Lead Level,19,Very High Salary,177347,Australia,White,0,PhD
3002,Female,1,Full Stack Engineer,Early Career,29,Mid Level,6,High Salary,103579,Australia,Australian,0,Master's
3003,Male,2,Software Engineer Manager,Senior Professionals,45,Lead Level,19,Very High Salary,163780,China,Korean,0,Bachelor's
3004,Male,1,Front end Developer,Young Professionals,36,Senior Level,12,High Salary,137878,UK,Mixed,0,Master's
3005,Female,2,Project Engineer,Early Career,30,Junior Level,4,Medium Salary,92438,USA,Hispanic,1,Master's
3006,Male,2,Full Stack Engineer,Early Career,28,Junior Level,5,Medium Salary,84181,UK,White,0,Bachelor's
3007,Female,3,Software Engineer Manager,Senior Professionals,46,Expert Level,21,Very High Salary,174821,UK,White,0,Master's
3008,Male,1,Back end Developer,Early Career,34,Mid Level,10,High Salary,126520,USA,African American,0,PhD
3009,Male,2,Software Engineer,Young Professionals,44,Lead Level,18,Very High Salary,152168,UK,Welsh,1,Bachelor's
3010,Female,3,Software Engineer Manager,Late Career,55,Expert Level,29,Very High Salary,190543,USA,White,0,Master's
3011,Male,2,Full Stack Engineer,Young Professionals,35,Mid Level,9,High Salary,131547,China,Chinese,0,Master's
3012,Male,1,Project Engineer,Senior Professionals,54,Expert Level,28,Very High Salary,192292,UK,Mixed,1,Bachelor's
3013,Female,0,Back end Developer,Early Career,23,Fresher,1,Medium Salary,52807,Australia,White,0,Master's
3014,Male,2,Software Engineer,Senior Professionals,46,Lead Level,20,Very High Salary,174938,China,White,1,Master's
3015,Female,1,Full Stack Engineer,Early Career,33,Mid Level,8,High Salary,124071,China,Korean,0,Bachelor's
3016,Male,2,Front end Developer,Early Career,26,Junior Level,3,Medium Salary,73640,UK,Asian,0,PhD
3017,Female,3,Software Engineer Manager,Young Professionals,43,Lead Level,19,Very High Salary,156486,USA,African American,0,Master's
3018,Male,2,Full Stack Engineer,Young Professionals,36,Senior Level,11,High Salary,138859,Canada,White,0,Bachelor's
3019,Female,1,Project Engineer,Early Career,23,Fresher,0,Medium Salary,52831,USA,Asian,1,Master's
3020,Male,2,Software Engineer Manager,Senior Professionals,49,Expert Level,23,Very High Salary,182392,UK,Asian,0,Bachelor's
3021,Female,2,Full Stack Engineer,Young Professionals,35,Senior Level,11,Very High Salary,151078,Canada,White,0,Master's
3022,Male,1,Back end Developer,Early Career,31,Mid Level,8,High Salary,100679,Canada,White,0,Master's
3023,Male,2,Full Stack Engineer,Young Professionals,43,Lead Level,20,Very High Salary,167924,UK,Asian,0,PhD
3024,Female,2,Project Engineer,Early Career,33,Mid Level,10,High Salary,113334,Canada,White,1,Bachelor's
3025,Female,3,Software Engineer Manager,Senior Professionals,52,Expert Level,29,Very High Salary,194778,UK,Welsh,0,Master's
3026,Male,1,Full Stack Engineer,Early Career,28,Junior Level,4,Medium Salary,77606,UK,Mixed,0,PhD
3027,Female,2,Software Engineer,Young Professionals,36,Senior Level,13,High Salary,140010,USA,Asian,1,Master's
3028,Male,1,Project Engineer,Young Professionals,43,Lead Level,20,High Salary,142421,Canada,Black,1,Bachelor's
3029,Female,2,Full Stack Engineer,Senior Professionals,50,Expert Level,24,Very High Salary,192756,Canada,Asian,0,High School
3030,Male,3,Software Engineer Manager,Early Career,24,Fresher,1,High Salary,106686,Australia,Asian,0,Master's
3031,Male,2,Software Engineer,Senior Professionals,52,Expert Level,27,Very High Salary,186794,China,White,1,Bachelor's
3032,Female,1,Back end Developer,Senior Professionals,46,Lead Level,19,Very High Salary,150729,USA,Asian,0,Master's
3033,Male,2,Full Stack Engineer,Young Professionals,38,Senior Level,15,Very High Salary,171652,UK,Welsh,0,PhD
3034,Male,1,Project Engineer,Early Career,29,Mid Level,6,Medium Salary,88552,USA,Hispanic,1,Master's
3035,Female,2,Front end Developer,Early Career,33,Mid Level,9,High Salary,119918,USA,Asian,0,Bachelor's
3036,Male,3,Software Engineer Manager,Senior Professionals,47,Expert Level,21,Very High Salary,174985,UK,Mixed,0,Master's
3037,Female,2,Software Engineer,Senior Professionals,45,Expert Level,23,Very High Salary,174336,Australia,Asian,1,Master's
3038,Male,1,Back end Developer,Early Career,28,Junior Level,4,Medium Salary,72389,China,Chinese,0,Bachelor's
3039,Female,2,Full Stack Engineer,Young Professionals,42,Senior Level,14,Very High Salary,163978,Canada,Black,0,High School
3040,Male,1,Project Engineer,Senior Professionals,46,Expert Level,25,Very High Salary,166958,UK,Asian,1,Master's
3041,Female,3,Software Engineer Manager,Young Professionals,38,Senior Level,15,High Salary,145052,UK,Welsh,0,Master's
3042,Male,2,Software Engineer,Senior Professionals,54,Expert Level,32,Very High Salary,195270,Canada,Asian,1,PhD
3043,Female,2,Full Stack Engineer,Early Career,33,Mid Level,8,High Salary,122970,Australia,White,0,Bachelor's
3044,Male,0,Back end Developer,Early Career,27,Junior Level,4,Medium Salary,80247,Australia,Australian,0,Master's
3045,Female,1,Project Engineer,Senior Professionals,50,Expert Level,25,Very High Salary,177862,Canada,White,1,Bachelor's
3046,Male,2,Full Stack Engineer,Early Career,26,Junior Level,4,Medium Salary,91062,China,Korean,0,Master's
3047,Female,2,Software Engineer,Early Career,31,Mid Level,6,High Salary,114290,Canada,Asian,1,PhD
3048,Male,1,Front end Developer,Young Professionals,35,Mid Level,10,High Salary,128999,USA,Asian,0,Master's
3049,Female,3,Software Engineer Manager,Young Professionals,44,Lead Level,18,Very High Salary,162454,USA,African American,0,Bachelor's
3050,Male,2,Project Engineer,Early Career,32,Mid Level,8,High Salary,122354,Canada,White,1,Master's
3051,Male,1,Full Stack Engineer,Senior Professionals,54,Expert Level,25,Very High Salary,179756,UK,Mixed,0,Bachelor's
3052,Female,2,Front end Developer,Early Career,26,Junior Level,3,Medium Salary,73218,Canada,White,0,Master's
3053,Male,3,Software Engineer Manager,Early Career,23,Fresher,0,Medium Salary,52612,UK,White,0,PhD
3054,Female,2,Software Engineer,Senior Professionals,48,Expert Level,23,Very High Salary,185038,Canada,White,1,Master's
3055,Male,1,Back end Developer,Young Professionals,38,Senior Level,12,High Salary,132442,UK,Asian,0,Bachelor's
3056,Female,2,Full Stack Engineer,Early Career,30,Junior Level,5,High Salary,102828,USA,Hispanic,0,Master's
3057,Male,2,Software Engineer Manager,Young Professionals,40,Lead Level,16,Very High Salary,150301,Canada,Black,0,Bachelor's
3058,Female,1,Project Engineer,Senior Professionals,45,Expert Level,22,Very High Salary,171468,Canada,Black,1,PhD
3059,Male,2,Full Stack Engineer,Young Professionals,36,Senior Level,13,High Salary,147326,Australia,Australian,0,Master's
3060,Male,3,Software Engineer Manager,Senior Professionals,52,Expert Level,26,Very High Salary,185982,Canada,Asian,0,Master's
3061,Female,1,Software Engineer,Early Career,31,Mid Level,7,High Salary,108267,Australia,Australian,1,High School
3062,Male,2,Full Stack Engineer,Early Career,26,Junior Level,3,Medium Salary,91397,Canada,Black,0,Bachelor's
3063,Female,2,Project Engineer,Early Career,30,Junior Level,5,High Salary,100867,Canada,Black,1,Master's
3064,Male,1,Back end Developer,Early Career,24,Fresher,2,Medium Salary,64182,UK,Asian,0,Master's
3065,Male,2,Software Engineer,Senior Professionals,45,Expert Level,22,Very High Salary,182506,USA,African American,1,Bachelor's
3066,Female,2,Full Stack Engineer,Early Career,33,Mid Level,9,High Salary,136986,Australia,Asian,0,PhD
3067,Male,1,Front end Developer,Young Professionals,38,Senior Level,11,High Salary,136662,USA,Hispanic,0,Master's
3068,Female,3,Software Engineer Manager,Senior Professionals,54,Expert Level,32,Very High Salary,191510,China,Chinese,0,Bachelor's
3069,Male,2,Full Stack Engineer,Young Professionals,42,Lead Level,19,Very High Salary,177347,UK,Welsh,0,Master's
3070,Female,1,Project Engineer,Early Career,28,Junior Level,4,Medium Salary,82944,China,Chinese,1,PhD
